start	end	text
0	13000	Hey, Tony, it's me. Yeah, it's me, Juan. I have a favorite serious favorite can ask for you. Can I borrow your car for a couple hours? I need to head downtown.
13000	16000	Oh, well, for I need a.
16000	21000	This is kind of embarrassing, but I need to pick up my cat from the bed.
21000	28000	Yeah, she's kind of just please.
28000	34000	Yeah, I need to pick her up because if I don't pick her up now, they're gonna charge me an extra $100 overnight.
34000	43000	And right now, even though, like, you know, I love the cat, you know, but $100 is not worth it. And then
43000	54000	Look, I know that little Jimmy scratch you up and everything, but he's a cat. He's a wild animal. Please. This is not affecting him. It's affecting me.
54000	58000	The hundred dollars can go a long way. I could be opening packs right now.
58000	62000	Let me open them.
62000	64000	Look, look, look, look, look.
64000	69000	There, please. I get on my knees. I'm getting on my knees. I need to speak. I need to speak.
69000	77000	I'm gonna need to borrow your car for a couple hours to I failed to get a couple hours to max. I figured fill out your tank.
77000	81000	I even vacuum your car, please. I do anything right now. Please.
